type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,077663,陽明統一1C購10,TW22Z0776635,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077664,大立光統一1C購13,TW22Z0776643,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077665,文曄統一1C購01,TW22Z0776650,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077666,東哥統一1C購03,TW22Z0776668,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077667,東哥統一22購02,TW22Z0776676,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077668,東哥統一23購01,TW22Z0776684,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077669,佳世達富邦24購01,TW22Z0776692,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07766P,聯電元大24售07,TW22Z07766P8,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077670,長榮富邦25購01,TW22Z0776700,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077671,致伸富邦23購01,TW22Z0776718,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077672,新唐富邦23購02,TW22Z0776726,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077673,勝一麥證1C購01,TW22Z0776734,2022/06/17,上市,,RWSCCE
上市認購(售)權證,077674,聯發科麥證21購01,TW22Z0776742,2022/06/17,上市,,RWSCCE
上市認購(售)權證,077675,兆豐金麥證21購01,TW22Z0776759,2022/06/17,上市,,RWSCCE
上市認購(售)權證,077676,台新金麥證1C購01,TW22Z0776767,2022/06/17,上市,,RWSCCE
上市認購(售)權證,077677,臺股指麥證23購10,TW22Z0776775,2022/06/17,上市,,RWICCE
上市認購(售)權證,077678,臺股指麥證26購03,TW22Z0776783,2022/06/17,上市,,RWICCE
上市認購(售)權證,077679,滬深2X元大1C購03,TW22Z0776791,2022/06/17,上市,,RWBCCA
上市認購(售)權證,07767P,金像電元大24售04,TW22Z07767P6,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077680,滬深2X元大22購01,TW22Z0776809,2022/06/17,上市,,RWBCCA
上市認購(售)權證,077681,東鹼元大21購01,TW22Z0776817,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077682,東鋼元大1C購03,TW22Z0776825,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077683,東鋼元大21購02,TW22Z0776833,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077684,鴻海元大1C購15,TW22Z0776841,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077685,鴻海元大21購16,TW22Z0776858,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077686,台積電元大1C購37,TW22Z0776866,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077687,台積電元大1C購38,TW22Z0776874,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077688,華邦電元大1C購05,TW22Z0776882,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077689,技嘉元大1C購03,TW22Z0776890,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07768P,長榮航元大24售13,TW22Z07768P4,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077690,友達元大1C購05,TW22Z0776908,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077691,飛宏元大1C購05,TW22Z0776916,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077692,強茂元大1C購04,TW22Z0776924,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077693,華新科元大1C購03,TW22Z0776932,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077694,宏達電元大1C購04,TW22Z0776940,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077695,陽明元大1C購17,TW22Z0776957,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077696,萬海元大1C購11,TW22Z0776965,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077697,萬海元大21購02,TW22Z0776973,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077698,晶豪科元大1C購06,TW22Z0776981,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077699,玉晶光元大1C購04,TW22Z0776999,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07769P,聯詠元大24售02,TW22Z07769P2,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077700,創意元大1C購08,TW22Z0777005,2022/06/17,上市,,RWSCCA
